Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
MonadBayes_LR50_IPMCMC4-1-5,2.863390876465266e-2,2.823515883135478e-2,2.915334187904964e-2,9.574451827624464e-4,7.448554390415653e-4,1.1781296451941808e-3
MonadBayes_LR50_IPMCMC4-2-5,6.185448241170389e-2,6.101994486977975e-2,6.297530213309245e-2,1.6930850736189946e-3,1.2463162367523197e-3,2.4293508480093553e-3
MonadBayes_LR50_IPMCMC4-3-5,9.292721309277124e-2,8.962762153471383e-2,9.827040278228542e-2,6.2332871681497065e-3,1.053940528788083e-3,7.737969463859561e-3
MonadBayes_LR50_IPMCMC4-4-5,0.1318369495536312,0.12689666234635708,0.13957691175560602,8.94313943328022e-3,4.278646980874707e-3,1.3431234701664657e-2
MonadBayes_LR50_IPMCMC4-5-5,0.16606508344926027,0.1559367666070187,0.1778780898372512,1.5037722187896955e-2,9.909168533442602e-3,1.9859340927431388e-2
MonadBayes_LR50_IPMCMC4-6-5,0.1850431995952773,0.18265597500579275,0.18789076025411744,3.474613987219808e-3,1.8280794150821594e-3,5.048136291641434e-3
MonadBayes_LR50_IPMCMC4-7-5,0.2179145326710228,0.213355757208805,0.22394731263322143,6.6679600946216696e-3,3.671694023883361e-3,9.12652897608282e-3
MonadBayes_LR50_IPMCMC4-8-5,0.24948422944968687,0.2408904817059393,0.257980048376764,9.92573089549125e-3,8.591787588230176e-3,1.0147098668433885e-2
MonadBayes_LR50_IPMCMC4-9-5,0.30061831012135337,0.2807335740287541,0.32610016330115016,2.8017861318630453e-2,7.6360176710105745e-3,3.710451722751808e-2
MonadBayes_LR50_IPMCMC4-10-5,0.31473496493381353,0.3035254712466581,0.33046334216433226,1.4908707764260534e-2,7.462076936170743e-4,1.853466950272046e-2
MonadBayes_HMM20_IPMCMC4-1-5,1.6644426874442383e-2,1.645960853856027e-2,1.6904294249972817e-2,5.468652986586013e-4,4.0509534038022423e-4,7.180218846753053e-4
MonadBayes_HMM20_IPMCMC4-2-5,3.6245233314213136e-2,3.5766762772982075e-2,3.6886781080344606e-2,1.140158859115508e-3,8.616918266661488e-4,1.4896261552516706e-3
MonadBayes_HMM20_IPMCMC4-3-5,5.369597465655642e-2,5.324151809704717e-2,5.448835960371056e-2,1.1447602522107181e-3,8.202969936456668e-4,1.6946851712685953e-3
MonadBayes_HMM20_IPMCMC4-4-5,7.224302825989648e-2,7.121506095514177e-2,7.3930464330335e-2,2.205525619940048e-3,1.1386819064048055e-3,3.5332221454040247e-3
